Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,144.46743904912174,175.09749852829069,4.744295585229157,23.89534407303103,53.75403620400805,90.0,90.0,90.0,90.0,90.0,bird_dog
left,146.2439599782229,174.15040008292232,5.826817092010829,64.4892345904243,36.9946674231744,90.0,90.0,90.0,90.0,90.0,bird_dog
left,131.34917936495563,147.97258918554118,4.040700174204041,6.453696902267731,52.797420529562686,90.0,90.0,90.0,90.0,90.0,bird_dog
left,148.52571202390942,158.6397792352248,3.1146054234915175,48.554014005108336,11.423316667905704,90.0,90.0,90.0,90.0,90.0,bird_dog
left,139.07824575852078,166.98540616188603,3.1143849379835045,172.57417050792395,37.57090561326019,90.0,90.0,90.0,90.0,90.0,bird_dog
left,112.54823658887875,176.35769919277027,9.866285149034407,141.07939840196755,92.68165530503386,90.0,90.0,90.0,90.0,90.0,bird_dog
left,134.1527540169517,165.8998552337478,8.042914614559859,83.83381153818449,76.97937082139441,90.0,90.0,90.0,90.0,90.0,bird_dog
left,167.23179521493742,133.08957028024574,9.935884856725712,104.37117072432603,111.41397268405076,90.0,90.0,90.0,90.0,90.0,bird_dog
left,125.18038469441423,150.8798494914985,5.255301551315667,134.4672722073766,130.0558394363176,90.0,90.0,90.0,90.0,90.0,bird_dog
left,150.3882518818938,170.14819347292263,10.46325799128568,36.12272589512504,26.88179705134372,90.0,90.0,90.0,90.0,90.0,bird_dog
left,129.28081459469024,170.83342445540137,1.3546000739031276,166.4267590093157,97.04657829294779,90.0,90.0,90.0,90.0,90.0,bird_dog
left,120.03220953017711,160.35203264343306,11.901658428717285,116.09822937730085,147.30481148222978,90.0,90.0,90.0,90.0,90.0,bird_dog
left,131.8095536813435,81.92210212373756,5.733250561276684,28.642986242095073,52.862576679977074,90.0,90.0,90.0,90.0,90.0,bird_dog
left,147.27122801650904,131.35005146200825,11.411971563260849,158.92701042137276,24.112209508410352,90.0,90.0,90.0,90.0,90.0,bird_dog
left,136.96413107958338,156.76557134516622,1.8823769682789486,50.41208913247422,4.347071772714187,90.0,90.0,90.0,90.0,90.0,bird_dog
left,159.46304795964173,179.56856312985482,18.620981561619086,92.66336653868215,19.22170447545808,90.0,90.0,90.0,90.0,90.0,bird_dog
left,161.0501688263429,153.08805095292962,10.81962700424692,135.2986231892769,76.35321485279415,90.0,90.0,90.0,90.0,90.0,bird_dog
left,120.74506733563328,159.8179529611997,16.071027710831547,68.87807560115779,13.885682989143618,90.0,90.0,90.0,90.0,90.0,bird_dog
left,134.5426460153475,165.09800926712214,2.6036108846691377,132.27251721169287,70.34427171924892,90.0,90.0,90.0,90.0,90.0,bird_dog
left,126.96154982254603,145.6349236614185,4.91178235053697,133.97077205959064,15.297669712589338,90.0,90.0,90.0,90.0,90.0,bird_dog
left,153.57550534654385,172.7522138618477,13.73601961931007,122.64525057060663,43.03364235756774,90.0,90.0,90.0,90.0,90.0,bird_dog
left,132.45107329093892,143.05004590141155,9.576180269055206,60.48121467268941,46.016266278040355,90.0,90.0,90.0,90.0,90.0,bird_dog
left,147.15310534756543,167.6266100706211,8.571098254343504,5.370757617482263,8.833995360189059,90.0,90.0,90.0,90.0,90.0,bird_dog
left,119.98091648379993,143.17485164815386,0.40570947422116577,87.60964058774415,65.28690711539886,90.0,90.0,90.0,90.0,90.0,bird_dog
left,158.6667247972429,159.8072933915695,2.187911292288218,100.72367635324638,142.84030267677505,90.0,90.0,90.0,90.0,90.0,bird_dog
left,178.01997323653288,133.3859374643616,19.224361164860408,20.73435504250448,106.06554049345526,90.0,90.0,90.0,90.0,90.0,bird_dog
left,129.8192351325057,147.27637865817513,12.836013643149379,33.54834802969754,49.27796807847895,90.0,90.0,90.0,90.0,90.0,bird_dog
left,109.79577659956865,152.6421664527569,4.733702246507026,4.407828069532567,24.212274049799323,90.0,90.0,90.0,90.0,90.0,bird_dog
left,123.48058428100734,175.33550648393836,5.4380535756225905,115.28155465376095,127.87520846648098,90.0,90.0,90.0,90.0,90.0,bird_dog
left,111.7578134709925,136.6845167173695,11.342727901170514,118.444799699307,36.74787620383185,90.0,90.0,90.0,90.0,90.0,bird_dog
left,143.0325060153262,159.53174153565973,3.176295350937963,146.60122700279697,128.7569608498151,90.0,90.0,90.0,90.0,90.0,bird_dog
left,146.50822899190285,174.12176484003146,9.269578302342605,38.823601546619784,174.42361681141972,90.0,90.0,90.0,90.0,90.0,bird_dog
left,115.79185007359814,178.387925501333,11.407106351424764,149.8900560510021,48.87802846659255,90.0,90.0,90.0,90.0,90.0,bird_dog
left,135.42394909143692,158.64245766508458,1.0116303562691666,18.10053097999463,58.02576446901706,90.0,90.0,90.0,90.0,90.0,bird_dog
left,121.01703533952215,132.82299825843427,3.6739501549271303,41.77996527493656,51.5129455580753,90.0,90.0,90.0,90.0,90.0,bird_dog
left,138.8148813013281,178.94533602598793,2.266271163905254,177.04833213956695,31.48187196860265,90.0,90.0,90.0,90.0,90.0,bird_dog
left,140.1128989096439,125.95938825533185,6.070197803716468,97.87619431890664,4.106701029150338,90.0,90.0,90.0,90.0,90.0,bird_dog
left,127.19248959059198,172.01210020953346,4.404338875919781,147.0196493159248,31.415063120303284,90.0,90.0,90.0,90.0,90.0,bird_dog
left,124.65455402349431,150.3263919557789,7.716718497872175,83.54347635298346,31.05156620795807,90.0,90.0,90.0,90.0,90.0,bird_dog
